"","councils","years"
"676","A624",1991
"677","A624",1991
"678","A624",1991
"679","A624",1991
"680","A624",1991
"681","A624",1991
"682","A624",1991
"683","A624",1991
"684","A624",1991
"685","A624",1991
"686","A624",1991
"687","A624",1991
"688","A624",1991
"689","A624",1991
"690","A624",1991
"691","A624",1991
"692","A624",1991
"693","A624",1991
"694","A624",1991
"695","A624",1991
"696","A624",1991
"697","A624",1991
"698","A624",1991
"699","A624",1991
"700","A624",1991
"701","A624",1991
"702","A624",1991
"703","A624",1991
"704","A624",1991
"705","A624",1991
"706","A624",1991
"707","A624",1991
"708","A624",1991
"709","A624",1991
"710","A624",1991
"711","A624",1991
"712","A624",1991
"713","A624",1991
"714","A624",1991
"715","A624",1991
"716","A624",1991
"717","A624",1991
"718","A624",1991
"719","A624",1991
"720","A624",1991
"721","A624",1991
"722","A624",1991
"723","A624",1991
"724","A624",1991
"725","A624",1991
"726","A624",1991
"727","A624",1991
"728","A624",1991
"729","A624",1991
"730","A624",1991
"731","A624",1991
"732","A624",1991
"733","A624",1991
"734","A624",1991
"735","A624",1991
"736","A624",1991
"737","A624",1991
"738","A624",1991
"739","A624",1991
"740","A624",1991
"741","A624",1991
"742","A624",1991
"743","A624",1991
"744","A624",1991
"745","A624",1991
"746","A624",1991
"747","A624",1991
"748","A624",1991
"749","A624",1991
"750","A624",1991
"751","A624",1991
"752","A624",1991
"753","A624",1991
"754","A624",1991
"755","A624",1991
"756","A624",1991
"757","A624",1991
"758","A624",1991
"759","A624",1991
"760","A624",1991
"761","A624",1991
"762","A624",1991
"763","A624",1991
"764","A624",1991
"765","A624",1991
"766","A624",1991
"767","A624",1991
"768","A624",1991
"769","A624",1991
"770","A624",1991
"771","A624",1991
"772","A624",1991
"773","A624",1991
"774","A624",1991
"775","A624",1991
"776","A624",1991
"777","A624",1991
"778","A624",1991
"779","A624",1991
"780","A624",1991
"781","A624",1991
"782","A624",1991
"783","A624",1991
"784","A624",1991
"785","A624",1991
"786","A624",1991
"787","A624",1991
"788","A624",1991
"789","A624",1991
"790","A624",1991
"791","A624",1991
"792","A624",1991
"793","A624",1991
"794","A624",1991
"795","A624",1991
"796","A624",1991
"797","A624",1991
"798","A624",1991
"799","A624",1991
"800","A624",1991
"801","A624",1991
"802","A624",1991
"803","A624",1991
"804","A624",1991
"805","A624",1991
"806","A624",1991
"807","A624",1991
"808","A624",1991
"809","A624",1991
"810","A624",1991
"811","A624",1991
"812","A624",1991
"813","A624",1991
"814","A624",1991
"815","A624",1991
"816","A624",1991
"817","A624",1991
"818","A624",1991
"819","A624",1991
"820","A624",1991
"821","A624",1991
"822","A624",1991
"823","A624",1991
"824","A624",1991
"825","A624",1991
"826","A624",1991
"827","A624",1991
"828","A624",1991
"829","A624",1991
"830","A624",1991
"831","A624",1991
"832","A624",1991
"833","A624",1991
"834","A624",1991
"835","A624",1991
"836","A624",1991
"837","A624",1991
"838","A624",1991
"839","A624",1991
"840","A624",1991
"841","A624",1991
"842","A624",1991
"843","A624",1991
"844","A624",1991
"845","A624",1991
"846","A624",1991
"847","A624",1991
"848","A624",1991
"849","A624",1991
"850","A624",1991
"851","A624",1991
"852","A624",1991
"853","A624",1991
"854","A624",1991
"855","A624",1991
"856","A624",1991
"857","A624",1991
"858","A624",1991
"859","A624",1991
"860","A624",1991
"861","A624",1991
"862","A624",1991
"863","A624",1991
"864","A624",1991
"865","A624",1991
"866","A624",1991
"867","A624",1991
"868","A624",1991
"869","A624",1991
"870","A624",1991
"871","A624",1991
"872","A624",1991
"873","A624",1991
"874","A624",1991
"875","A624",1991
"876","A624",1991
"877","A624",1991
"878","A624",1991
"879","A624",1991
"880","A624",1991
"881","A624",1991
"882","A624",1991
"883","A624",1991
"884","A624",1991
"885","A624",1991
"886","A624",1991
"887","A624",1991
"888","A624",1991
"889","A624",1991
"890","A624",1991
"891","A624",1991
"892","A624",1991
"893","A624",1991
"894","A624",1991
"895","A624",1991
"896","A624",1991
"897","A624",1991
"898","A624",1991
"899","A624",1991
"900","A624",1991
"901","A624",1991
"902","A624",1991
"903","A624",1991
"904","A624",1991
"905","A624",1991
"906","A624",1991
"907","A624",1991
"908","A624",1991
"909","A624",1991
"910","A624",1991
"911","A624",1991
"912","A624",1991
"913","A624",1991
"914","A624",1991
"915","A624",1991
"916","A624",1991
"917","A624",1991
"918","A624",1991
"919","A624",1991
"920","A624",1991
"921","A624",1991
"922","A624",1991
"923","A624",1991
"924","A624",1991
"925","A624",1991
"926","A624",1991
"927","A624",1991
"928","A624",1991
"929","A624",1991
"930","A624",1991
"931","A624",1991
"932","A624",1991
"933","A624",1991
"934","A624",1991
"935","A624",1991
"936","A624",1991
"937","A624",1991
"938","A624",1991
"939","A624",1991
"940","A624",1991
"941","A624",1991
"942","A624",1991
"943","A624",1991
"944","A624",1991
"945","A624",1991
"946","A624",1991
"947","A624",1991
"948","A624",1991
"949","A624",1991
"950","A624",1991
"951","A624",1991
"952","A624",1991
"953","A624",1991
"954","A624",1991
"955","A624",1991
"956","A624",1991
"957","A624",1991
"958","A624",1991
"959","A624",1991
"960","A624",1991
"961","A624",1991
"962","A624",1991
"963","A624",1991
"964","A624",1991
"965","A624",1991
"966","A624",1991
"967","A624",1991
"968","A624",1991
"969","A624",1991
"970","A624",1991
"971","A624",1991
"972","A624",1991
"973","A624",1991
"974","A624",1991
"975","A624",1991
"976","A624",1991
"977","A624",1991
"978","A624",1991
"979","A624",1991
"980","A624",1991
"981","A624",1991
"982","A624",1991
"983","A624",1991
"984","A624",1991
"985","A624",1991
"986","A624",1991
"987","A624",1991
"988","A624",1991
"989","A624",1991
"990","A624",1991
"991","A624",1991
"992","A624",1991
"993","A624",1991
"994","A624",1991
"995","A624",1991
"996","A624",1991
"997","A624",1991
"998","A624",1991
"999","A624",1991
"1000","A624",1991
"1001","A624",1991
"1002","A624",1991
"1003","A624",1991
"1004","A624",1991
"1005","A624",1991
"1006","A624",1991
"1007","A624",1991
"1008","A624",1991
"1009","A624",1991
"1010","A624",1991
"1011","A624",1991
"1012","A624",1991
"1013","A624",1991
"1014","A624",1991
"1015","A624",1991
"1016","A624",1991
"1017","A624",1991
"1018","A624",1991
